PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.0170178,0,0.0810373,0,0,0,0.111021,0.790924,4,1,2.60535,0.144192,1,2.14686,0.454161,0.231042,1
0.0158228,0.126582,0.0696203,0,0,0,0.00316456,0.78481,4,1,2.70253,0.165803,1,2.21503,0.440415,0.267541,1
0.0147059,0,0.0207612,0,0,0,0.0804498,0.884083,4,1,2.88668,0.174648,1,2.3507,0.422535,0.244728,1
0,0.142857,0.142857,0,0,0,0,0.714286,3,1,2.07143,0.25,1,1.5,0.475,0.523809,1
0,0.126582,0.0696203,0,0,0,0.0189873,0.78481,4,1,2.71203,0.165803,1,2.2228,0.437824,0.267541,1
0.0121951,0,0.121951,0,0,0,0.0609756,0.804878,4,1,2.34146,0.156863,1,1.89216,0.415033,0.343902,1
0.0111111,0.366667,0.2,0,0,0,0.0111111,0.411111,4,1,1.9,0.0909091,1,1.56364,0.493939,0.313333,1
0,0.106464,0.11635,0,0,0,0.0927757,0.684411,4,1,2.30266,0.117796,1,1.9183,0.479206,0.216007,1
0.0105263,0.428947,0.181579,0,0,0,0.00789474,0.371053,4,1,1.84474,0.0733333,1,1.56,0.531111,0.225526,1
0.00911854,0.00607903,0.0790274,0,0,0,0.0972644,0.808511,4,1,2.54711,0.160401,1,2.10276,0.43609,0.259314,1
0,0.0850461,0.14387,0,0,0,0.0637845,0.7073,4,1,2.20482,0.120597,1,1.85791,0.487164,0.203362,1
0,0.080402,0.130653,0,0,0,0.0653266,0.723618,4,1,2.25485,0.124321,1,1.8962,0.479984,0.205886,1
0.00789474,0.455263,0.181579,0,0,0,0,0.355263,4,1,1.84211,0.0733333,1,1.55778,0.532593,0.225564,1
0.0078329,0.151436,0.193211,0,0,0,0.0887728,0.558747,4,1,1.82768,0.0728477,1,1.54746,0.53348,0.224655,1
0,0.0773639,0.129656,0,0,0,0.0659026,0.727077,4,1,2.25501,0.125301,1,1.89699,0.47992,0.205549,1
0.00584795,0.0175439,0.201754,0,0,0,0.175439,0.599415,4,1,2.04678,0.0800971,1,1.70146,0.382282,0.255096,1
0.00421053,0,0.213333,0,0,0,0.211228,0.571228,4,1,2.00421,0.0775607,1,1.69153,0.523387,0.20404,1
0,0.0361446,0.156627,0,0,0,0.0481928,0.759036,4,1,2.26506,0.135922,1,1.83495,0.430421,0.337952,1
0.00330033,0,0.0891089,0,0,0,0.00660066,0.90099,4,1,2.86799,0.171582,1,2.33244,0.418231,0.275436,1
0.00319489,0.191693,0.0702875,0,0,0,0.00638978,0.728435,4,1,2.58466,0.167102,1,2.11488,0.446475,0.269831,1
0.00292398,0,0.201754,0,0,0,0.181287,0.614035,4,1,2.05263,0.0825243,1,1.70631,0.504854,0.256182,1
0.00291758,0.184537,0.19329,0,0,0,0.0452225,0.574034,4,1,2.05616,0.0795107,1,1.72477,0.517431,0.20641,1
0,0.0267857,0.205357,0,0,0,0.175595,0.592262,4,1,2.16369,0.0812808,1,1.7931,0.499179,0.258929,1
0.0026738,0.430481,0.181818,0,0,0,0.00802139,0.377005,4,1,1.85829,0.0743243,1,1.56757,0.53003,0.228228,1
0.0026455,0.462963,0.177249,0,0,0,0,0.357143,4,1,1.86243,0.078125,1,1.57366,0.52753,0.226455,1
0.0026455,0.460317,0.18254,0,0,0,0.0026455,0.351852,4,1,1.84921,0.0736607,1,1.5625,0.529762,0.226342,1
0,0,0.257732,0,0,0,0.0412371,0.701031,4,1,1.78351,0.0769231,1,1.48718,0.495726,0.320619,1
0.00255973,0,0.0341297,0,0,0,0.0759386,0.887372,4,1,2.86433,0.178273,1,2.33844,0.427809,0.241526,1
0,0,0.253012,0,0,0,0.226506,0.520482,4,1,1.76386,0.0680412,1,1.51134,0.549828,0.222513,1
0.00251889,0,0.239295,0,0,0,0.2267,0.531486,4,1,1.82116,0.0728051,1,1.55032,0.543183,0.230335,1
0,0,0.25,0,0,0,0,0.75,3,1,1.8125,0.136364,1,1.36364,0.393939,0.5,1
0,0,0.244681,0,0,0,0.0531915,0.702128,4,1,1.82979,0.0789474,1,1.51754,0.488304,0.326596,1
0,0,0.23354,0,0,0,0.0496894,0.71677,4,1,1.81988,0.0688367,1,1.56403,0.534863,0.183613,1
0,0,0.226862,0,0,0,0.220598,0.55254,4,1,2.00278,0.0770135,1,1.69253,0.524985,0.202568,1
0,0,0.224476,0,0,0,0.223776,0.551748,4,1,2.00979,0.0773318,1,1.69717,0.524203,0.203497,1
0,0,0.22439,0,0,0,0.218118,0.557491,4,1,2.00627,0.0776928,1,1.69511,0.525603,0.202803,1
0,0,0.22366,0,0,0,0.235983,0.540357,4,1,1.80283,0.0694224,1,1.55114,0.556262,0.182294,1
0,0,0.222222,0,0,0,0.0246914,0.753086,4,1,2.11111,0.108911,1,1.70297,0.429043,0.35679,1
0,0,0.215837,0,0,0,0.211633,0.57253,4,1,2.0042,0.0768776,1,1.6919,0.524147,0.203797,1
0,0,0.213333,0,0,0,0.216842,0.569825,4,1,2.00632,0.0769686,1,1.69331,0.523387,0.204022,1
0,0,0.212705,0,0,0,0.213419,0.573876,4,1,2.0621,0.0780781,1,1.73574,0.51992,0.207241,1
0,0,0.212593,0,0,0,0.201481,0.585926,4,1,2.20741,0.0811648,1,1.84696,0.509294,0.214102,1
0,0,0.212228,0,0,0,0.215741,0.572031,4,1,2.00562,0.0776526,1,1.69235,0.523019,0.204306,1
0,0,0.211424,0,0,0,0.200297,0.588279,4,1,2.20623,0.0812655,1,1.84553,0.509512,0.214394,1
0.00210526,0,0.213333,0,0,0,0.214737,0.569825,4,1,2.00632,0.0769686,1,1.69331,0.523584,0.204022,1
0,0,0.205642,0,0,0,0.188567,0.605791,4,1,2.20045,0.0806952,1,1.84047,0.509208,0.214514,1
0,0,0.1875,0,0,0,0.181548,0.630952,4,1,2.09524,0.0886699,1,1.73645,0.500821,0.259354,1
0,0,0.186992,0,0,0,0.100271,0.712737,4,1,1.8916,0.0751708,1,1.59226,0.504176,0.242315,1
0,0.0178571,0.205357,0,0,0,0.175595,0.60119,4,1,2.16964,0.0812808,1,1.79803,0.499179,0.259184,1
0,0,0.174312,0,0,0,0.171254,0.654434,4,1,2.26911,0.100756,1,1.87154,0.483627,0.264133,1
0.00170794,0,0.0239112,0,0,0,0.0939368,0.880444,4,1,2.89923,0.172822,1,2.36655,0.422067,0.241803,1
0,0.0157895,0.0149123,0,0,0,0.0614035,0.907895,4,1,2.71053,0.182336,1,2.20157,0.431861,0.247824,1
0.00151057,0.00151057,0.0641994,0,0,0,0.0944109,0.838369,4,1,2.59441,0.161209,1,2.16373,0.440176,0.217005,1
0.0015015,0,0.0630631,0,0,0,0.101351,0.834084,4,1,2.56381,0.160401,1,2.14035,0.440685,0.215875,1
0.00149813,0,0.0636704,0,0,0,0.101873,0.832959,4,1,2.55131,0.1601,1,2.13071,0.440901,0.215432,1
0.00149813,0,0.0636704,0,0,0,0.101124,0.833708,4,1,2.55131,0.1601,1,2.13071,0.441317,0.215432,1
0.00146843,0,0.207783,0,0,0,0.187959,0.60279,4,1,2.17401,0.0799508,1,1.82165,0.51271,0.212285,1
0.00143266,0,0.201289,0,0,0,0.209885,0.587393,4,1,2.06089,0.0879518,1,1.73373,0.516064,0.207783,1
0,0,0.142857,0,0,0,0,0.857143,3,1,2.07143,0.2,1,1.5,0.35,0.523809,1
0.00140351,0,0.214035,0,0,0,0.214035,0.570526,4,1,2.00702,0.0769686,1,1.6939,0.523584,0.204016,1
0,0.0123839,0.0650155,0,0,0,0.0990712,0.823529,4,1,2.43653,0.16285,1,2.00509,0.434266,0.263777,1
0,0.0105079,0.0113835,0,0,0,0.0805604,0.897548,4,1,3.04904,0.182077,1,2.47724,0.412518,0.247323,1
0,0.0103806,0.0112457,0,0,0,0.0795848,0.898789,4,1,2.9827,0.180282,1,2.42887,0.414554,0.244512,1
0,0,0.0985507,0,0,0,0.0695652,0.831884,4,1,2.36667,0.155718,1,1.98723,0.457421,0.209063,1
0,0,0.097897,0,0,0,0.0696157,0.832487,4,1,2.36838,0.155813,1,1.98844,0.457091,0.209201,1
0,0,0.0904486,0,0,0,0.100579,0.808972,4,1,2.35456,0.155529,1,1.97752,0.45889,0.208827,1
0,0,0.0891089,0,0,0,0.00990099,0.90099,4,1,2.87459,0.171582,1,2.3378,0.417337,0.275436,1
0,0,0.0891089,0,0,0,0.00990099,0.90099,4,1,2.86799,0.171582,1,2.33244,0.417337,0.275436,1
0.000849618,0.000849618,0.0365336,0,0,0,0.0781648,0.883602,4,1,2.86491,0.177654,1,2.34074,0.428638,0.240548,1
0.000777001,0,0.0644911,0,0,0,0.0730381,0.861694,4,1,2.52603,0.165055,1,2.09671,0.449388,0.222625,1
