PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.119694,0,0.126357,0,0,0,0.000246792,0.753702,4,1,2.25864,0.0240873,0,1.72243,0.41513,0.0310893,0
0.119388,0.328571,0.257143,0,0,0,0.0193878,0.27551,4,1,2.05306,0.023753,0,1.59382,0.338282,0.0420206,0
0.118266,0.486928,0.323916,0,0,0,0.0107036,0.060186,4,1,1.67924,0.00940037,0,1.3632,0.407848,0.0230507,0
0.118039,0.230366,0.277963,0,0,0,0.052832,0.3208,4,1,2.15516,0.0237125,0,1.67803,0.446091,0.0344509,0
0.11477,0.39521,0.343313,0,0,0,0.0309381,0.115768,4,1,1.72355,0.0134387,0,1.36601,0.383794,0.0415898,0
0.114218,0.479323,0.313903,0,0,0,0.00236314,0.090193,4,1,1.69319,0.0107697,0,1.36205,0.396341,0.0292753,0
0.113899,0.450418,0.324572,0,0,0,0.0139387,0.0971724,4,1,1.72561,0.0166453,0,1.38732,0.392045,0.0290415,0
0.113571,0,0.248797,0,0,0,0.045717,0.591915,4,1,1.79933,0.0120256,0,1.40549,0.355693,0.0338051,0
0.112992,0.402815,0.313278,0,0,0,0.0558842,0.115032,4,1,1.8093,0.0200653,0,1.44731,0.38279,0.0269389,0
0.11215,0.435004,0.316907,0,0,0,0.0123195,0.123619,4,1,1.78292,0.0210383,0,1.4245,0.379708,0.0306206,0
0.110038,0.351113,0.314154,0,0,0,0.106678,0.118018,4,1,1.74633,0.0110405,0,1.39144,0.323453,0.030486,0
0.10875,0.44375,0.32625,0,0,0,0.0141667,0.107083,4,1,1.71083,0.017708,0,1.3722,0.389576,0.0305635,0
0.108741,0.439872,0.324146,0,0,0,0.0137814,0.11346,4,1,1.6919,0.00989496,0,1.36444,0.40478,0.02523,0
0.10846,0.190889,0.232104,0,0,0,0.0173536,0.451193,4,1,2.1692,0.0214521,0,1.65182,0.32467,0.0577006,0
0.107403,0.459345,0.334142,0,0,0,0.000202265,0.0989078,4,1,1.68972,0.015018,0,1.36386,0.399404,0.0266742,0
0.103563,0.455261,0.327258,0,0,0,0.0008285,0.11309,4,1,1.70381,0.0213191,0,1.37042,0.387658,0.0296118,0
0.101976,0.453755,0.334387,0,0,0,0.016996,0.0928854,4,1,1.71937,0.0201085,0,1.38876,0.39459,0.0286158,0
0.101285,0.426304,0.331822,0,0,0,0.0604686,0.0801209,4,1,1.70446,0.0103595,0,1.37477,0.401584,0.0340398,0
0.100039,0.396472,0.322606,0,0,0,0.0381931,0.142691,4,1,1.77394,0.0197973,0,1.4265,0.383359,0.0256613,0
0.0995049,0.0638614,0.199505,0,0,0,0.112871,0.524257,4,1,1.81782,0.0126292,0,1.40566,0.341753,0.0353505,0
0.0964706,0.475294,0.315098,0,0,0,0.000196078,0.112941,4,1,1.68706,0.0101074,0,1.35897,0.396913,0.0257345,0
0.0951427,0.0165248,0.152228,0,0,0,0.0265398,0.709564,4,1,2.22984,0.0248566,0,1.70325,0.418101,0.03658,0
0.0902655,0.417699,0.320354,0,0,0,0.019469,0.152212,4,1,1.73097,0.0211268,0,1.37887,0.376761,0.0498016,0
0.0894176,0.463084,0.317473,0,0,0,0.000410172,0.129614,4,1,1.68786,0.0111989,0,1.35573,0.393857,0.0300187,0
0.0863146,0,0.0948325,0,0,0,0,0.818853,3,1,2.25327,0.0271426,0,1.6963,0.384911,0.03629,0
0.0760456,0.368821,0.273764,0,0,0,0.00760456,0.273764,4,1,1.80989,0.0208333,0,1.41964,0.360863,0.0766707,0
0.0707547,0.141509,0.245283,0,0,0,0.113208,0.429245,4,1,2.15094,0.0321429,0,1.63214,0.322321,0.0896226,0
0.0663167,0,0.12241,0,0,0,0.0146449,0.796629,4,1,2.20613,0.0148195,0,1.66667,0.30599,0.0343325,0
0.0648148,0,0.162412,0,0,0,0.0142643,0.758509,4,1,2.13714,0.0122652,0,1.63683,0.32982,0.0317808,0
0.0645756,0.411439,0.285978,0,0,0,0.00553506,0.232472,4,1,1.78229,0.0203785,0,1.40757,0.362809,0.0527803,0
0.0610278,0,0.159529,0,0,0,0,0.779443,4,1,2.16488,0.0228199,0,1.64874,0.315403,0.0438132,0
0.0608602,0,0.0930484,0,0,0,0.0164999,0.829592,4,1,2.32324,0.0260746,0,1.74985,0.384056,0.0350831,0
0.047619,0.384354,0.268707,0,0,0,0.0204082,0.278912,4,1,1.78571,0.0188172,0,1.41398,0.360887,0.0719955,0
0.0470588,0.152941,0.235294,0,0,0,0.117647,0.447059,3,1,1.92941,0.0438596,0,1.44737,0.415205,0.153753,0
0.0468293,0.411707,0.207805,0,0,0,0.00195122,0.331707,4,1,1.79659,0.0125095,0,1.39651,0.353108,0.0349793,0
0.0456629,0.370255,0.370438,0,0,0,0.159729,0.0539153,4,1,1.63231,0.00989505,0,1.33463,0.435495,0.0237843,0
0.0448543,0,0.247495,0,0,0,0.0273224,0.680328,3,1,1.78074,0.0114306,0,1.39704,0.358234,0.0293988,0
0.0434783,0,0.247894,0,0,0,0.0279991,0.680628,4,1,1.78124,0.0114286,0,1.3975,0.358304,0.02896,0
