PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0,0.001386,0.0741511,0,0,0,0.452529,0.471933,4,1,3.22592,0.0162338,1,3.02338,0.387879,0.515385,0
0.0108401,0.00225836,0.0492322,0,0,0,0.461156,0.476513,4,1,3.4318,0.017301,1,3.28676,0.38466,0.526699,0
0.00695048,0.00260643,0.0807993,0,0,0,0.443962,0.465682,4,1,3.18071,0.0202429,1,2.96518,0.390013,0.515411,0
0.0145688,0.00291375,0.0524476,0,0,0,0.456294,0.473776,4,1,3.44056,0.022309,1,3.29336,0.385016,0.535132,0
0.0183824,0,0.143382,0,0,0,0.389706,0.448529,4,1,2.99632,0.0390879,1,2.65798,0.375679,0.51166,0
0.0229592,0.00127551,0.0854592,0,0,0,0.431122,0.459184,4,1,3.24235,0.027381,1,3.02738,0.386111,0.529519,0
0,0,0.333333,0,0,0,0.121212,0.545455,4,1,2.90909,0.205479,1,2.64384,0.447489,0.772727,0
0.0596026,0.0115894,0.0728477,0,0,0,0.403974,0.451987,4,1,3.36921,0.068038,1,3.22152,0.397152,0.609035,0
0,0,0.197492,0,0,0,0.373041,0.429467,4,1,2.74922,0.0265957,1,2.33511,0.358156,0.460485,0
0.0136054,0,0.133787,0,0,0,0.399093,0.453515,4,1,3.00227,0.0306748,1,2.70961,0.379686,0.503212,0
0.0016,0.0016,0.1216,0,0,0,0.4192,0.456,4,1,2.9616,0.0231548,1,2.68017,0.386879,0.494715,0
0.00621118,0.00207039,0.128364,0,0,0,0.405797,0.457557,4,1,3.08075,0.0318949,1,2.79362,0.380863,0.510559,0
0.0149942,0.00461361,0.0692042,0,0,0,0.439446,0.471742,4,1,3.39331,0.0348584,1,3.20588,0.377269,0.542416,0
0,0,0.266667,0,0,0,0.306667,0.426667,4,1,2.72,0.0869565,1,2.22826,0.333333,0.505098,0
0,0,0.247788,0,0,0,0.349558,0.402655,4,1,2.5885,0.0251799,1,2.10791,0.340528,0.424864,0
0.109504,0.00413223,0.0681818,0,0,0,0.369835,0.448347,4,1,3.29132,0.0790514,1,3.1502,0.408432,0.642844,0
